Input Number, Run_Number, Result@ 100, cpd00089_c0_, cpd00008_c0_, cpd00061_c0_, cpd00067_c0_, cpd00002_c0_, cpd00020_c0_, cpd00009_c0_, cpd00022_c0_, cpd00010_c0_, cpd00029_c0_, cpd00169_c0_, cpd11620_c0_, cpd00001_c0_, cpd00102_c0_, cpd11621_c0_, cpd00079_c0_, cpd00072_c0_, cpd00290_c0_, cpd00095_c0_, cpd00003_c0_, cpd00004_c0_, cpd00203_c0_, cpd00482_c0_
INVAR-1, Run: 001, P, 97, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 002, P, 111, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 003, P, 94, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 004, P, 100, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 005, P, 99, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 006, P, 113, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 007, P, 107, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 008, P, 103, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 009, P, 106, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 010, P, 103, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 011, P, 101, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 012, P, 89, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 013, P, 96, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 014, P, 100, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 015, P, 99, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 016, P, 126, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 017, P, 110, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 018, P, 82, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 019, P, 120, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 020, P, 91, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 021, P, 100, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 022, P, 80, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 023, P, 114, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0
INVAR-1, Run: 024, P, 110, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 0, 50, 0, 0, 50, 0, 0, 0
