Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, Y, T1, T2, T3, T4, T5, T6, R, U, L2, D, L3, O1, O2, O3, O4, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 10, 0, 0, 0, 0, 0, 6, 4, 10, 5, 6, 4, 2, 1, 6, 0, 19, 0, 9, 0, 1, 9, 33, 27, 20, 42950, 36795, 31645, 27129, 23222, 6145, 239, 5145, 4510, 3903, 3358, 19862, 19843, 145, 86, 53, 26, 94, 59
INVAR-1, Run: 002, P, 0, 10, 0, 0, 0, 0, 0, 16, 4, 3, 3, 1, 2, 5, 1, 6, 0, 32, 0, 9, 0, 1, 9, 30, 21, 29, 46878, 44061, 41537, 39078, 36808, 2814, 236, 2521, 2458, 2268, 2157, 34646, 34614, 152, 96, 66, 45, 84, 56
INVAR-1, Run: 003, P, 0, 10, 0, 0, 0, 0, 0, 38, 0, 1, 1, 0, 2, 1, 1, 6, 0, 45, 0, 9, 0, 1, 9, 30, 20, 21, 48749, 47503, 46291, 45141, 44023, 1245, 219, 1211, 1150, 1116, 1112, 42910, 42865, 157, 109, 79, 59, 62, 48
INVAR-1, Run: 004, P, 0, 10, 0, 0, 0, 0, 0, 1, 28, 14, 6, 1, 0, 1, 1, 6, 0, 0, 0, 15, 6, 7, 15, 38, 21, 27, 24765, 12557, 6238, 3174, 1604, 12194, 248, 6313, 3063, 1570, 803, 800, 800, 149, 87, 49, 28, 99, 62
INVAR-1, Run: 005, P, 0, 10, 0, 0, 0, 0, 0, 8, 6, 7, 2, 6, 3, 5, 1, 6, 0, 21, 0, 9, 0, 1, 9, 33, 17, 24, 44232, 39367, 35062, 31175, 27683, 4858, 225, 4303, 3881, 3489, 3076, 24602, 24581, 133, 82, 49, 32, 92, 51
INVAR-1, Run: 006, P, 0, 10, 0, 0, 0, 0, 0, 19, 3, 3, 2, 3, 1, 0, 1, 6, 0, 38, 0, 9, 0, 1, 9, 39, 23, 34, 47392, 44983, 42735, 40650, 38543, 2406, 251, 2246, 2082, 2106, 1905, 36638, 36600, 170, 115, 76, 53, 81, 55
INVAR-1, Run: 007, P, 0, 0, 0, 10, 0, 0, 0, 15, 5, 2, 6, 3, 2, 0, 1, 6, 0, 32, 0, 8, 9, 0, 8, 30, 25, 22, 46747, 43883, 41195, 38562, 36139, 2862, 232, 2682, 2630, 2421, 2222, 33917, 33885, 147, 92, 62, 37, 85, 55
INVAR-1, Run: 008, P, 0, 10, 0, 0, 0, 0, 0, 4, 14, 3, 9, 3, 3, 3, 1, 6, 0, 15, 0, 9, 0, 1, 9, 32, 15, 25, 40084, 32051, 25638, 20552, 16503, 8030, 217, 6404, 5083, 4046, 3282, 13218, 13203, 121, 76, 44, 29, 96, 45
INVAR-1, Run: 009, P, 0, 10, 0, 0, 0, 0, 0, 17, 1, 2, 3, 2, 3, 1, 1, 6, 0, 38, 0, 10, 1, 2, 10, 39, 23, 29, 47203, 44453, 41907, 39550, 37393, 2748, 239, 2543, 2355, 2154, 2076, 35316, 35278, 156, 108, 69, 46, 83, 48
INVAR-1, Run: 010, P, 10, 0, 0, 0, 0, 0, 0, 100, 0, 1, 1, 0, 0, 0, 1, 6, 0, 48, 0, 0, 1, 2, 0, 0, 0, 0, 49693, 49198, 48701, 48193, 47697, 494, 100, 496, 508, 496, 460, 47237, 47189, 100, 100, 100, 100, 0, 0
INVAR-1, Run: 011, P, 10, 0, 0, 0, 0, 0, 0, 15, 1, 1, 0, 4, 2, 3, 1, 6, 0, 39, 0, 10, 11, 12, 10, 26, 19, 35, 47125, 44187, 41411, 38803, 36326, 2937, 238, 2776, 2604, 2475, 2406, 33917, 33878, 153, 95, 69, 50, 85, 58
INVAR-1, Run: 012, P, 0, 10, 0, 0, 0, 0, 0, 29, 2, 2, 3, 2, 2, 4, 1, 6, 0, 35, 0, 9, 0, 1, 9, 46, 16, 64, 48611, 46934, 45350, 43808, 42353, 1675, 288, 1581, 1540, 1453, 1417, 40932, 40897, 217, 155, 109, 93, 71, 62
INVAR-1, Run: 013, P, 0, 10, 0, 0, 0, 0, 0, 4, 5, 8, 10, 2, 5, 7, 1, 6, 0, 13, 0, 11, 2, 3, 11, 47, 30, 51, 40127, 32099, 25647, 20410, 16245, 8020, 296, 6442, 5235, 4160, 3300, 12938, 12925, 200, 132, 85, 55, 96, 68
INVAR-1, Run: 014, P, 0, 10, 0, 0, 0, 0, 0, 24, 2, 1, 3, 2, 3, 0, 1, 6, 0, 39, 0, 9, 0, 1, 9, 13, 10, 9, 47981, 46046, 44186, 42503, 40765, 1934, 187, 1857, 1681, 1735, 1645, 39120, 39081, 111, 56, 43, 33, 76, 55
INVAR-1, Run: 015, P, 0, 10, 0, 0, 0, 0, 0, 27, 1, 0, 0, 3, 5, 0, 1, 6, 0, 41, 0, 9, 0, 1, 9, 41, 15, 28, 48129, 46360, 44690, 43042, 41467, 1769, 234, 1670, 1645, 1570, 1454, 40013, 39972, 161, 111, 70, 55, 73, 50
INVAR-1, Run: 016, P, 0, 10, 0, 0, 0, 0, 0, 4, 4, 10, 11, 4, 2, 5, 1, 6, 0, 14, 0, 9, 0, 1, 9, 36, 19, 28, 39883, 31966, 25706, 20495, 16358, 7907, 236, 6249, 5207, 4135, 3224, 13129, 13115, 140, 87, 51, 32, 96, 53
INVAR-1, Run: 017, P, 0, 10, 0, 0, 0, 0, 0, 18, 3, 2, 0, 3, 2, 4, 1, 6, 0, 36, 0, 9, 0, 1, 9, 36, 29, 71, 47253, 44822, 42562, 40382, 38222, 2429, 285, 2260, 2177, 2158, 2002, 36216, 36180, 203, 154, 118, 89, 82, 49
INVAR-1, Run: 018, P, 0, 10, 0, 0, 0, 0, 0, 11, 3, 4, 6, 3, 3, 2, 1, 6, 0, 29, 0, 9, 0, 1, 9, 26, 19, 19, 45788, 41899, 38370, 35065, 32152, 3885, 215, 3523, 3302, 2910, 2655, 29495, 29466, 126, 75, 49, 30, 89, 51
INVAR-1, Run: 019, P, 0, 10, 0, 0, 0, 0, 0, 15, 1, 3, 3, 3, 3, 1, 1, 6, 0, 36, 0, 9, 0, 1, 9, 47, 32, 45, 47160, 44140, 41342, 38717, 36362, 3017, 280, 2795, 2622, 2352, 2303, 34058, 34022, 195, 139, 92, 60, 85, 56
INVAR-1, Run: 020, P, 0, 10, 0, 0, 0, 0, 0, 11, 4, 6, 4, 3, 5, 5, 1, 6, 0, 23, 0, 9, 0, 1, 9, 26, 22, 42, 45614, 41799, 38390, 35177, 32283, 3809, 269, 3405, 3210, 2889, 2671, 29607, 29584, 180, 101, 75, 53, 89, 79
INVAR-1, Run: 021, P, 0, 0, 0, 10, 0, 0, 0, 3, 10, 10, 7, 6, 5, 2, 1, 6, 0, 10, 0, 16, 17, 8, 16, 26, 17, 18, 37859, 28229, 21086, 15756, 11706, 9620, 216, 7136, 5324, 4045, 2930, 8774, 8764, 119, 64, 38, 21, 97, 55
INVAR-1, Run: 022, P, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 4, 1, 6, 0, 46, 0, 0, 1, 2, 0, 0, 0, 0, 49635, 49175, 48662, 48165, 47643, 460, 100, 513, 497, 522, 484, 47155, 47109, 100, 100, 100, 100, 0, 0
INVAR-1, Run: 023, P, 0, 10, 0, 0, 0, 0, 0, 35, 2, 1, 0, 1, 3, 0, 1, 6, 0, 43, 0, 9, 0, 1, 9, 32, 17, 33, 48709, 47349, 46032, 44714, 43449, 1359, 234, 1317, 1317, 1262, 1188, 42261, 42218, 169, 117, 85, 68, 65, 52
INVAR-1, Run: 024, P, 0, 10, 0, 0, 0, 0, 0, 11, 9, 0, 3, 0, 4, 1, 1, 6, 0, 33, 0, 9, 0, 1, 9, 36, 27, 74, 45841, 42045, 38364, 35131, 32161, 3796, 290, 3678, 3233, 2966, 2650, 29510, 29477, 201, 148, 112, 85, 89, 53
INVAR-1, Run: 025, P, 0, 10, 0, 0, 0, 0, 0, 22, 1, 3, 3, 1, 0, 2, 1, 6, 0, 40, 0, 9, 0, 1, 9, 33, 18, 31, 47748, 45629, 43672, 41711, 39920, 2116, 226, 1954, 1960, 1791, 1743, 38175, 38135, 148, 104, 71, 53, 78, 44
INVAR-1, Run: 026, P, 0, 10, 0, 0, 0, 0, 0, 17, 3, 2, 2, 2, 0, 4, 1, 6, 0, 37, 0, 9, 0, 1, 9, 40, 18, 40, 47197, 44492, 41974, 39653, 37520, 2703, 270, 2516, 2319, 2133, 2095, 35421, 35384, 187, 115, 75, 57, 83, 72
