Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, CO, Y, PE, CE, F
INVAR-1, Run: 001, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 002, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 003, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 004, E, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0
INVAR-1, Run: 005, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 006, E, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0
INVAR-1, Run: 007, E, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0
INVAR-1, Run: 008, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 009, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 010, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 011, E, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0
INVAR-1, Run: 012, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 013, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 014, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 015, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 016, E, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0
INVAR-1, Run: 017, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 018, E, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0
INVAR-1, Run: 019, E, 0, 0, 0, 0, 0, 54, 0, 4, 1, 4, 0
INVAR-1, Run: 020, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 021, E, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0
INVAR-1, Run: 022, E, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0
INVAR-1, Run: 023, E, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0
INVAR-1, Run: 024, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 025, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 026, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 027, E, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0
INVAR-1, Run: 028, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 029, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 030, E, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0
INVAR-1, Run: 031, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 032, E, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0
INVAR-1, Run: 033, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 034, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 035, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 036, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 037, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 038, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 039, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 040, E, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0
INVAR-1, Run: 041, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 042, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 043, E, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0
INVAR-1, Run: 044, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 045, E, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0
INVAR-1, Run: 046, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 047, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 048, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 049, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 050, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 051, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 052, E, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0
INVAR-1, Run: 053, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 054, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 055, E, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0
INVAR-1, Run: 056, E, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0
INVAR-1, Run: 057, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 058, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 059, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 060, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 061, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
INVAR-1, Run: 062, E, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0
