Input Number, Run_Number, Result@ 100, CO, X1, Y, H, M, PO, CE, D, PE, A, B
1, Run: 001, P, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1
1, Run: 002, P, 0, 0, 21, 0, 0, 0, 5, 0, 1, 22, 0
1, Run: 003, P, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1
1, Run: 004, P, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1
1, Run: 005, P, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1
1, Run: 006, P, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0
1, Run: 007, P, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1
1, Run: 008, P, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0
1, Run: 009, P, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1
1, Run: 010, P, 19, 0, 37, 1, 0, 1, 0, 4, 0, 0, 1
1, Run: 011, P, 0, 0, 15, 0, 0, 0, 7, 0, 1, 38, 0
1, Run: 012, P, 51, 0, 53, 1, 0, 1, 0, 8, 0, 0, 1
1, Run: 013, P, 0, 0, 21, 0, 0, 0, 5, 0, 1, 22, 0
1, Run: 014, P, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1
1, Run: 015, P, 0, 0, 15, 0, 0, 0, 7, 0, 1, 38, 0
1, Run: 016, P, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1
1, Run: 017, P, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1
1, Run: 018, P, 43, 0, 49, 1, 0, 1, 0, 7, 0, 0, 1
1, Run: 019, P, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0
1, Run: 020, P, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1
1, Run: 021, P, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1
1, Run: 022, P, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1
1, Run: 023, P, 0, 0, 15, 0, 0, 0, 7, 0, 1, 38, 0
1, Run: 024, P, 19, 0, 37, 1, 0, 1, 0, 4, 0, 0, 1
1, Run: 025, P, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1
1, Run: 026, P, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0
1, Run: 027, P, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1
1, Run: 028, P, 43, 0, 49, 1, 0, 1, 0, 7, 0, 0, 1
1, Run: 029, P, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1
1, Run: 030, P, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1
1, Run: 031, P, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1
1, Run: 032, P, 43, 0, 49, 1, 0, 1, 0, 7, 0, 0, 1
1, Run: 033, P, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1
1, Run: 034, P, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1
1, Run: 035, P, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1
1, Run: 036, P, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0
1, Run: 037, P, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1
1, Run: 038, P, 43, 0, 49, 1, 0, 1, 0, 7, 0, 0, 1
1, Run: 039, P, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0
1, Run: 040, P, 43, 0, 49, 1, 0, 1, 0, 7, 0, 0, 1
1, Run: 041, P, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0
1, Run: 042, P, 0, 0, 15, 0, 0, 0, 7, 0, 1, 38, 0
1, Run: 043, P, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1
1, Run: 044, P, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0
1, Run: 045, P, 43, 0, 49, 1, 0, 1, 0, 7, 0, 0, 1
1, Run: 046, P, 0, 0, 21, 0, 0, 0, 5, 0, 1, 22, 0
1, Run: 047, P, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1
1, Run: 048, P, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1
1, Run: 049, P, 0, 0, 12, 0, 0, 0, 8, 0, 1, 46, 0
1, Run: 050, P, 0, 0, 15, 0, 0, 0, 7, 0, 1, 38, 0
1, Run: 051, P, 0, 0, 24, 0, 0, 0, 4, 0, 1, 14, 0
1, Run: 052, P, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1
1, Run: 053, P, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0
1, Run: 054, P, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1
1, Run: 055, P, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1
1, Run: 056, P, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1
1, Run: 057, P, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1
1, Run: 058, P, 43, 0, 49, 1, 0, 1, 0, 7, 0, 0, 1
1, Run: 059, P, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0
1, Run: 060, P, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1
1, Run: 061, P, 0, 0, 15, 0, 0, 0, 7, 0, 1, 38, 0
1, Run: 062, P, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1
1, Run: 063, P, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0
1, Run: 064, P, 51, 0, 53, 1, 0, 1, 0, 8, 0, 0, 1
1, Run: 065, P, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1
1, Run: 066, P, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1
1, Run: 067, P, 0, 0, 15, 0, 0, 0, 7, 0, 1, 38, 0
1, Run: 068, P, 19, 0, 37, 1, 0, 1, 0, 4, 0, 0, 1
1, Run: 069, P, 19, 0, 37, 1, 0, 1, 0, 4, 0, 0, 1
1, Run: 070, P, 43, 0, 49, 1, 0, 1, 0, 7, 0, 0, 1
1, Run: 071, P, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0
1, Run: 072, P, 43, 0, 49, 1, 0, 1, 0, 7, 0, 0, 1
1, Run: 073, P, 0, 0, 21, 0, 0, 0, 5, 0, 1, 22, 0
1, Run: 074, P, 0, 0, 12, 0, 0, 0, 8, 0, 1, 46, 0
1, Run: 075, P, 0, 0, 21, 0, 0, 0, 5, 0, 1, 22, 0
1, Run: 076, P, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1
1, Run: 077, P, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1
1, Run: 078, P, 43, 0, 49, 1, 0, 1, 0, 7, 0, 0, 1
1, Run: 079, P, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1
1, Run: 080, P, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1
1, Run: 081, P, 0, 0, 21, 0, 0, 0, 5, 0, 1, 22, 0
1, Run: 082, P, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0
1, Run: 083, P, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1
1, Run: 084, P, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1
1, Run: 085, P, 19, 0, 37, 1, 0, 1, 0, 4, 0, 0, 1
1, Run: 086, P, 0, 0, 15, 0, 0, 0, 7, 0, 1, 38, 0
1, Run: 087, P, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1
1, Run: 088, P, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0
1, Run: 089, P, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1
1, Run: 090, P, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1
1, Run: 091, P, 0, 0, 21, 0, 0, 0, 5, 0, 1, 22, 0
1, Run: 092, P, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0
1, Run: 093, P, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0
1, Run: 094, P, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0
1, Run: 095, P, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0
1, Run: 096, P, 43, 0, 49, 1, 0, 1, 0, 7, 0, 0, 1
1, Run: 097, P, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0
1, Run: 098, P, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0
1, Run: 099, P, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1
1, Run: 100, P, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1
10, Run: 001, P, 285, 0, 443, 1, 0, 1, 0, 60, 0, 0, 1
10, Run: 002, P, 309, 0, 455, 1, 0, 1, 0, 63, 0, 0, 1
10, Run: 003, P, 0, 0, 232, 0, 0, 0, 56, 0, 1, 248, 0
10, Run: 004, P, 285, 0, 443, 1, 0, 1, 0, 60, 0, 0, 1
10, Run: 005, P, 0, 0, 226, 0, 0, 0, 58, 0, 1, 264, 0
10, Run: 006, P, 0, 0, 202, 0, 0, 0, 66, 0, 1, 328, 0
10, Run: 007, P, 293, 0, 447, 1, 0, 1, 0, 61, 0, 0, 1
10, Run: 008, P, 0, 0, 235, 0, 0, 0, 55, 0, 1, 240, 0
10, Run: 009, P, 0, 0, 223, 0, 0, 0, 59, 0, 1, 272, 0
10, Run: 010, P, 0, 0, 202, 0, 0, 0, 66, 0, 1, 328, 0
10, Run: 011, P, 245, 0, 423, 1, 0, 1, 0, 55, 0, 0, 1
10, Run: 012, P, 309, 0, 455, 1, 0, 1, 0, 63, 0, 0, 1
10, Run: 013, P, 0, 0, 205, 0, 0, 0, 65, 0, 1, 320, 0
10, Run: 014, P, 301, 0, 451, 1, 0, 1, 0, 62, 0, 0, 1
10, Run: 015, P, 285, 0, 443, 1, 0, 1, 0, 60, 0, 0, 1
10, Run: 016, P, 317, 0, 459, 1, 0, 1, 0, 64, 0, 0, 1
10, Run: 017, P, 0, 0, 217, 0, 0, 0, 61, 0, 1, 288, 0
10, Run: 018, P, 0, 0, 205, 0, 0, 0, 65, 0, 1, 320, 0
10, Run: 019, P, 293, 0, 447, 1, 0, 1, 0, 61, 0, 0, 1
10, Run: 020, P, 0, 0, 214, 0, 0, 0, 62, 0, 1, 296, 0
10, Run: 021, P, 285, 0, 443, 1, 0, 1, 0, 60, 0, 0, 1
10, Run: 022, P, 269, 0, 435, 1, 0, 1, 0, 58, 0, 0, 1
10, Run: 023, P, 0, 0, 211, 0, 0, 0, 63, 0, 1, 304, 0
10, Run: 024, P, 0, 0, 220, 0, 0, 0, 60, 0, 1, 280, 0
10, Run: 025, P, 325, 0, 463, 1, 0, 1, 0, 65, 0, 0, 1
10, Run: 026, P, 0, 0, 223, 0, 0, 0, 59, 0, 1, 272, 0
10, Run: 027, P, 301, 0, 451, 1, 0, 1, 0, 62, 0, 0, 1
10, Run: 028, P, 285, 0, 443, 1, 0, 1, 0, 60, 0, 0, 1
10, Run: 029, P, 0, 0, 229, 0, 0, 0, 57, 0, 1, 256, 0
10, Run: 030, P, 301, 0, 451, 1, 0, 1, 0, 62, 0, 0, 1
10, Run: 031, P, 309, 0, 455, 1, 0, 1, 0, 63, 0, 0, 1
10, Run: 032, P, 0, 0, 217, 0, 0, 0, 61, 0, 1, 288, 0
10, Run: 033, P, 293, 0, 447, 1, 0, 1, 0, 61, 0, 0, 1
10, Run: 034, P, 253, 0, 427, 1, 0, 1, 0, 56, 0, 0, 1
10, Run: 035, P, 0, 0, 214, 0, 0, 0, 62, 0, 1, 296, 0
10, Run: 036, P, 293, 0, 447, 1, 0, 1, 0, 61, 0, 0, 1
10, Run: 037, P, 301, 0, 451, 1, 0, 1, 0, 62, 0, 0, 1
10, Run: 038, P, 261, 0, 431, 1, 0, 1, 0, 57, 0, 0, 1
10, Run: 039, P, 0, 0, 208, 0, 0, 0, 64, 0, 1, 312, 0
10, Run: 040, P, 261, 0, 431, 1, 0, 1, 0, 57, 0, 0, 1
10, Run: 041, P, 317, 0, 459, 1, 0, 1, 0, 64, 0, 0, 1
10, Run: 042, P, 0, 0, 205, 0, 0, 0, 65, 0, 1, 320, 0
10, Run: 043, P, 0, 0, 226, 0, 0, 0, 58, 0, 1, 264, 0
10, Run: 044, P, 0, 0, 226, 0, 0, 0, 58, 0, 1, 264, 0
10, Run: 045, P, 301, 0, 451, 1, 0, 1, 0, 62, 0, 0, 1
10, Run: 046, P, 0, 0, 223, 0, 0, 0, 59, 0, 1, 272, 0
10, Run: 047, P, 0, 0, 211, 0, 0, 0, 63, 0, 1, 304, 0
10, Run: 048, P, 333, 0, 467, 1, 0, 1, 0, 66, 0, 0, 1
10, Run: 049, P, 0, 0, 223, 0, 0, 0, 59, 0, 1, 272, 0
10, Run: 050, P, 301, 0, 451, 1, 0, 1, 0, 62, 0, 0, 1
10, Run: 051, P, 0, 0, 217, 0, 0, 0, 61, 0, 1, 288, 0
10, Run: 052, P, 269, 0, 435, 1, 0, 1, 0, 58, 0, 0, 1
10, Run: 053, P, 0, 0, 211, 0, 0, 0, 63, 0, 1, 304, 0
10, Run: 054, P, 0, 0, 205, 0, 0, 0, 65, 0, 1, 320, 0
10, Run: 055, P, 0, 0, 211, 0, 0, 0, 63, 0, 1, 304, 0
10, Run: 056, P, 0, 0, 217, 0, 0, 0, 61, 0, 1, 288, 0
10, Run: 057, P, 0, 0, 214, 0, 0, 0, 62, 0, 1, 296, 0
10, Run: 058, P, 301, 0, 451, 1, 0, 1, 0, 62, 0, 0, 1
10, Run: 059, P, 0, 0, 214, 0, 0, 0, 62, 0, 1, 296, 0
10, Run: 060, P, 0, 0, 220, 0, 0, 0, 60, 0, 1, 280, 0
10, Run: 061, P, 0, 0, 229, 0, 0, 0, 57, 0, 1, 256, 0
10, Run: 062, P, 0, 0, 235, 0, 0, 0, 55, 0, 1, 240, 0
10, Run: 063, P, 293, 0, 447, 1, 0, 1, 0, 61, 0, 0, 1
