Input Number, Run_Number, Result@ 100, Leaderan, Leaderap, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, ah, X1uABX1, SetX1X1, Leaderad, ak, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderag, Leaderah, ao, ar, X1uABab, an, AGuAIX1, AGuAIab, Leaderai, AIuAJX1, AIuAJab, SetABX1, aq, AHuAKX1, AHuAKab, Leaderak, at, au, SetABab, SetX1ab, Y, ANuAOX1, ab, ANuAOab, Leaderao, ANuAPX1, ANuAPab, SetX1f, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 001, P, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 16, 8, 0, 0, 7, 1, 0, 0, 0, 2, 1, 2, 1, 16, 2, 0, 4, 2, 7, 3, 1, 1, 0, 9, 0, 0, 18, 1, 19, 2, 1, 0, 0, 8, 0, 2, 1, 3, 2, 1, 16, 2, 0, 0, 3, 1, 3, 2, 1, 1, 1, 1, 1, 3, 0, 11, 0, 22, 3, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 0, 0, 4, 0, 0, 17, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 002, P, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 15, 9, 0, 0, 8, 0, 1, 5, 2, 7, 4, 3, 1, 14, 4, 0, 0, 2, 5, 3, 1, 1, 0, 9, 0, 0, 16, 4, 17, 5, 1, 0, 0, 11, 0, 13, 5, 14, 6, 1, 17, 1, 0, 24, 4, 5, 26, 6, 1, 1, 1, 1, 1, 1, 0, 15, 0, 23, 1, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 0, 0, 8, 0, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 003, P, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 13, 5, 4, 0, 8, 1, 0, 5, 2, 11, 3, 4, 1, 16, 2, 0, 13, 1, 16, 2, 1, 1, 1, 9, 0, 0, 30, 4, 31, 5, 1, 0, 0, 7, 0, 9, 2, 10, 3, 1, 18, 0, 0, 7, 0, 1, 8, 2, 1, 1, 1, 1, 1, 2, 0, 13, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 4, 0, 0, 20, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 004, P, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 14, 9, 0, 0, 9, 0, 0, 7, 0, 8, 1, 3, 1, 17, 1, 0, 2, 1, 4, 2, 1, 1, 1, 9, 0, 0, 8, 2, 9, 3, 1, 0, 0, 3, 0, 11, 2, 12, 3, 1, 14, 4, 0, 18, 1, 4, 23, 5, 1, 1, 1, 1, 1, 2, 0, 8, 0, 22, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 6, 0, 0, 25, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 005, P, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 16, 7, 2, 0, 7, 1, 1, 12, 4, 17, 6, 1, 1, 17, 1, 0, 6, 1, 8, 2, 1, 1, 1, 8, 1, 0, 45, 13, 47, 14, 1, 0, 0, 3, 0, 3, 3, 4, 4, 1, 15, 3, 0, 16, 1, 4, 20, 5, 1, 1, 1, 1, 1, 5, 0, 6, 0, 24, 2, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 0, 0, 3, 0, 0, 20, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 18, 18, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 8, 1, 0, 9, 0, 0, 11, 7, 13, 8, 1, 1, 17, 0, 1, 47, 24, 49, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 007, P, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 17, 8, 1, 0, 9, 0, 0, 21, 5, 23, 6, 1, 1, 17, 1, 0, 22, 7, 24, 8, 1, 1, 0, 9, 0, 0, 3, 0, 4, 1, 1, 0, 0, 11, 0, 5, 0, 6, 1, 1, 16, 2, 0, 6, 1, 0, 9, 1, 1, 1, 1, 1, 1, 3, 0, 13, 0, 23, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 2, 0, 0, 4, 0, 0, 25, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 008, P, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 15, 8, 1, 0, 8, 1, 0, 17, 3, 20, 4, 1, 1, 16, 2, 0, 7, 3, 10, 4, 1, 1, 2, 8, 1, 0, 4, 1, 6, 2, 1, 0, 0, 40, 0, 3, 1, 4, 2, 1, 18, 0, 0, 5, 11, 0, 6, 1, 1, 1, 1, 1, 1, 2, 0, 44, 0, 11, 1, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 0, 0, 2, 0, 0, 13, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 009, P, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 17, 8, 0, 0, 8, 0, 0, 1, 0, 2, 1, 1, 1, 16, 2, 0, 6, 3, 9, 4, 1, 1, 0, 9, 0, 0, 13, 3, 14, 4, 1, 0, 0, 17, 0, 10, 2, 11, 3, 1, 18, 0, 0, 24, 6, 11, 25, 12, 1, 1, 1, 1, 1, 3, 0, 19, 0, 23, 1, 1, 0, 0, 0, 0, 0, 0, 7, 3, 1, 5, 2, 0, 6, 0, 0, 30, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 010, P, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 16, 9, 0, 0, 8, 0, 0, 2, 1, 3, 2, 2, 1, 17, 1, 0, 0, 0, 2, 1, 1, 1, 0, 9, 0, 0, 4, 0, 5, 1, 1, 0, 0, 10, 0, 32, 4, 33, 5, 1, 17, 1, 0, 9, 2, 3, 11, 4, 1, 1, 1, 1, 1, 0, 0, 13, 0, 0, 0, 0, 28, 0, 0, 7, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 26, 1, 0, 2, 0, 0, 1, 0, 2, 1, 0, 0
