Test, Input, Number_R, Number_F, Number_E, Number_TSE, Number_TEE, Number_NP
A1,INVAR-1,100,63,0,0,0,63
A1,INVAR-10,100,72,0,0,0,72
A1,INVAR-11,100,0,0,0,0,0
A1,INVAR-12,100,0,0,0,0,0
A1,INVAR-13,100,0,0,0,0,0
A1,INVAR-14,100,48,0,0,0,48
A1,INVAR-15,100,57,0,0,0,57
A1,INVAR-16,100,16,0,0,0,16
A1,INVAR-17,100,24,0,0,0,24
A1,INVAR-18,100,34,0,0,0,34
A1,INVAR-19,100,61,0,0,0,61
A1,INVAR-2,100,87,0,0,0,87
A1,INVAR-20,100,62,0,0,0,62
A1,INVAR-21,100,87,0,0,0,87
A1,INVAR-22,100,88,0,0,0,88
A1,INVAR-23,100,0,0,0,0,0
A1,INVAR-24,100,0,0,0,0,0
A1,INVAR-25,100,0,0,0,0,0
A1,INVAR-26,100,21,0,0,0,21
A1,INVAR-27,100,67,0,0,0,67
A1,INVAR-28,100,45,0,0,0,45
A1,INVAR-29,100,61,0,0,0,61
A1,INVAR-3,100,78,0,0,0,78
A1,INVAR-30,100,44,0,0,0,44
A1,INVAR-31,100,18,0,0,0,18
A1,INVAR-32,100,71,0,0,0,71
A1,INVAR-33,100,64,0,0,0,64
A1,INVAR-34,100,0,0,0,0,0
A1,INVAR-35,100,0,0,0,0,0
A1,INVAR-36,100,0,0,0,0,0
A1,INVAR-37,100,51,0,0,0,51
A1,INVAR-38,100,54,0,0,0,54
A1,INVAR-39,100,25,0,0,0,25
A1,INVAR-4,100,68,0,0,0,68
A1,INVAR-40,100,23,0,0,0,23
A1,INVAR-41,100,14,0,0,0,14
A1,INVAR-42,100,33,0,0,0,33
A1,INVAR-43,100,67,0,0,0,67
A1,INVAR-44,100,67,0,0,0,67
A1,INVAR-45,100,64,0,0,0,64
A1,INVAR-46,100,65,0,0,0,65
A1,INVAR-47,100,54,0,0,0,54
A1,INVAR-48,100,72,0,0,0,72
A1,INVAR-49,100,78,0,0,0,78
A1,INVAR-5,100,0,0,0,0,0
A1,INVAR-50,100,78,0,0,0,78
A1,INVAR-51,100,0,0,0,0,0
A1,INVAR-52,100,0,0,0,0,0
A1,INVAR-53,100,0,0,0,0,0
A1,INVAR-54,100,6,0,0,0,6
A1,INVAR-55,100,58,0,0,0,58
A1,INVAR-56,100,2,0,0,0,2
A1,INVAR-57,100,2,0,0,0,2
A1,INVAR-58,100,2,0,0,0,2
A1,INVAR-59,100,47,0,0,0,47
A1,INVAR-6,100,0,0,0,0,0
A1,INVAR-60,100,69,0,0,0,69
A1,INVAR-61,100,58,0,0,0,58
A1,INVAR-62,100,72,0,0,0,72
A1,INVAR-63,100,78,0,0,0,78
A1,INVAR-64,100,71,0,0,0,71
A1,INVAR-65,100,70,0,0,0,70
A1,INVAR-66,100,76,0,0,0,76
A1,INVAR-67,100,74,0,0,0,74
A1,INVAR-68,100,70,0,0,0,70
A1,INVAR-69,100,87,0,0,0,87
A1,INVAR-7,100,0,0,0,0,0
A1,INVAR-70,100,0,0,0,0,0
A1,INVAR-71,100,0,0,0,0,0
A1,INVAR-72,100,0,0,0,0,0
A1,INVAR-73,100,17,0,0,0,17
A1,INVAR-74,100,40,0,0,0,40
A1,INVAR-75,100,21,0,0,0,21
A1,INVAR-76,100,37,0,0,0,37
A1,INVAR-77,100,32,0,0,0,32
A1,INVAR-78,100,22,0,0,0,22
A1,INVAR-79,100,65,0,0,0,65
A1,INVAR-8,100,37,0,0,0,37
A1,INVAR-80,100,48,0,0,0,48
A1,INVAR-81,100,67,0,0,0,67
A1,INVAR-82,100,68,0,0,0,68
A1,INVAR-83,100,45,0,0,0,45
A1,INVAR-84,100,50,0,0,0,50
A1,INVAR-85,100,78,0,0,0,78
A1,INVAR-86,100,71,0,0,0,71
A1,INVAR-87,100,77,0,0,0,77
A1,INVAR-88,100,73,0,0,0,73
A1,INVAR-89,100,78,0,0,0,78
A1,INVAR-9,100,36,0,0,0,36
A1,INVAR-90,100,79,0,0,0,79
A1,INVAR-91,100,0,0,0,0,0
A1,INVAR-92,100,0,0,0,0,0
A1,INVAR-93,100,0,0,0,0,0
