Input Number, Run_Number, Result@ 100, SetABab, ANuAPX1, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, ah, X1uABX1, SetX1X1, Leaderad, ak, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderag, Leaderah, ao, ar, X1uABab, an, AGuAIX1, AGuAIab, Leaderai, AIuAJX1, AIuAJab, SetABX1, aq, AHuAKX1, AHuAKab, Leaderak, at, au, SetX1ab, Leaderan, Y, ANuAOX1, ab, ANuAOab, Leaderao, ANuAPab, SetX1f, Leaderap, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 17, 7, 2, 0, 7, 2, 0, 27, 10, 32, 11, 1, 1, 18, 0, 0, 18, 1, 19, 2, 1, 1, 0, 9, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2, 0, 11, 6, 12, 7, 1, 16, 2, 0, 31, 0, 9, 34, 10, 1, 1, 1, 1, 1, 5, 0, 4, 0, 27, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 3, 3, 1, 4, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 17, 9, 0, 0, 9, 0, 0, 7, 2, 8, 3, 0, 1, 17, 1, 0, 14, 5, 16, 6, 1, 1, 1, 9, 0, 0, 19, 7, 20, 8, 1, 0, 0, 7, 0, 2, 2, 3, 3, 1, 16, 1, 1, 26, 1, 5, 29, 7, 1, 1, 1, 1, 1, 1, 2, 9, 0, 22, 1, 0, 0, 0, 0, 0, 0, 0, 3, 10, 3, 14, 4, 1, 6, 0, 0, 32, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 003, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 1, 17, 9, 0, 0, 8, 1, 0, 10, 0, 12, 1, 1, 1, 16, 2, 0, 11, 5, 14, 6, 1, 1, 0, 9, 0, 0, 37, 8, 38, 9, 1, 0, 0, 9, 0, 12, 5, 12, 5, 0, 16, 2, 0, 35, 1, 6, 38, 7, 1, 1, 1, 0, 0, 4, 0, 11, 0, 26, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 3, 1, 1, 5, 0, 0, 25, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 004, F, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 1, 16, 9, 0, 0, 7, 2, 0, 3, 3, 6, 4, 2, 1, 18, 0, 0, 9, 0, 10, 1, 1, 1, 0, 9, 0, 0, 0, 0, 1, 1, 1, 0, 0, 39, 0, 14, 5, 15, 6, 1, 17, 1, 0, 8, 9, 2, 10, 3, 1, 1, 1, 0, 0, 5, 0, 42, 0, 29, 2, 0, 0, 0, 0, 0, 0, 0, 10, 3, 1, 5, 1, 0, 4, 0, 0, 23, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 9, 0, 0, 0, 1, 0, 0, 54, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 8, 1, 0, 7, 2, 0, 7, 2, 11, 3, 1, 1, 16, 2, 0, 16, 3, 19, 4, 1, 1, 0, 8, 1, 0, 5, 0, 7, 1, 1, 0, 0, 47, 0, 7, 1, 8, 1, 0, 18, 0, 0, 8, 5, 1, 9, 1, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 006, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 1, 17, 9, 0, 0, 9, 0, 0, 2, 1, 3, 2, 1, 1, 18, 0, 0, 2, 0, 3, 1, 1, 1, 0, 8, 1, 0, 24, 8, 26, 9, 1, 0, 0, 16, 0, 6, 1, 7, 2, 1, 17, 1, 0, 7, 7, 2, 9, 3, 1, 1, 1, 0, 0, 2, 1, 18, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 1, 1, 6, 0, 0, 26, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 007, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 1, 16, 8, 1, 0, 8, 1, 0, 2, 0, 5, 1, 2, 1, 16, 2, 0, 23, 7, 26, 8, 1, 1, 0, 9, 0, 0, 4, 2, 5, 3, 1, 0, 0, 1, 0, 8, 1, 9, 2, 1, 16, 2, 0, 6, 0, 0, 9, 1, 1, 1, 1, 0, 0, 4, 0, 4, 0, 31, 1, 0, 0, 0, 0, 0, 0, 0, 1, 16, 6, 18, 7, 1, 5, 0, 0, 22, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 008, F, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 1, 15, 9, 0, 0, 8, 0, 1, 2, 0, 4, 2, 2, 1, 17, 0, 1, 7, 2, 9, 4, 1, 1, 1, 9, 0, 0, 12, 1, 13, 2, 1, 0, 0, 13, 0, 17, 5, 18, 6, 1, 18, 0, 0, 32, 2, 6, 33, 7, 1, 1, 1, 0, 0, 5, 0, 17, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 2, 10, 2, 0, 4, 0, 0, 26, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 009, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 1, 13, 9, 0, 0, 9, 0, 0, 7, 2, 8, 3, 5, 1, 18, 0, 0, 3, 0, 4, 1, 1, 1, 0, 7, 2, 0, 14, 4, 17, 5, 1, 0, 0, 9, 0, 7, 3, 8, 4, 1, 14, 2, 2, 16, 1, 2, 21, 5, 1, 1, 1, 0, 0, 4, 0, 15, 0, 27, 2, 0, 0, 0, 0, 0, 0, 0, 2, 5, 1, 8, 2, 1, 4, 1, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 15, 8, 1, 0, 6, 3, 0, 7, 1, 12, 2, 2, 1, 16, 2, 0, 2, 1, 5, 2, 1, 1, 1, 8, 1, 0, 2, 0, 4, 1, 1, 0, 0, 6, 0, 6, 2, 7, 3, 1, 18, 0, 0, 27, 2, 3, 28, 4, 1, 1, 1, 1, 1, 5, 0, 10, 0, 23, 1, 0, 0, 0, 0, 0, 0, 0, 4, 5, 1, 7, 2, 1, 4, 0, 0, 31, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
