Input Number, Run_Number, Result@ 100, Leaderan, Leaderap, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, ah, X1uABX1, SetX1X1, Leaderad, ak, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderag, Leaderah, ao, ar, X1uABab, an, AGuAIX1, AGuAIab, Leaderai, AIuAJX1, AIuAJab, SetABX1, aq, AHuAKX1, AHuAKab, Leaderak, at, au, SetABab, SetX1ab, Y, ANuAOX1, ab, ANuAOab, Leaderao, ANuAPX1, ANuAPab, SetX1f, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 9, 0, 0, 1, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8, 1, 0, 9, 0, 0, 4, 0, 6, 1, 0, 1, 18, 0, 0, 22, 8, 23, 9, 1, 1, 0, 8, 1, 0, 26, 6, 28, 7, 1, 0, 0, 12, 0, 5, 2, 5, 2, 0, 17, 1, 0, 5, 0, 0, 7, 1, 1, 1, 1, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 002, F, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 15, 8, 1, 0, 9, 0, 0, 4, 1, 6, 2, 3, 1, 16, 1, 1, 29, 10, 32, 12, 1, 1, 0, 9, 0, 0, 0, 1, 1, 2, 1, 0, 0, 8, 0, 8, 1, 9, 2, 1, 17, 1, 0, 6, 5, 5, 8, 6, 1, 1, 1, 1, 1, 4, 0, 12, 0, 24, 1, 0, 0, 0, 0, 0, 0, 0, 6, 4, 1, 5, 1, 0, 5, 0, 0, 30, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 9, 0, 0, 1, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 9, 0, 0, 8, 1, 0, 10, 1, 12, 2, 2, 1, 18, 0, 0, 49, 10, 50, 11, 1, 1, 0, 9, 0, 0, 4, 0, 5, 1, 1, 0, 0, 10, 0, 2, 0, 2, 0, 0, 16, 2, 0, 1, 0, 0, 4, 1, 1, 1, 1, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 004, F, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 1, 15, 8, 1, 0, 7, 0, 1, 6, 1, 9, 3, 2, 1, 16, 1, 0, 2, 0, 4, 1, 1, 1, 0, 8, 0, 0, 22, 5, 23, 6, 1, 1, 0, 2, 0, 1, 0, 2, 1, 1, 15, 1, 1, 14, 0, 1, 17, 3, 1, 1, 1, 1, 1, 0, 0, 5, 0, 0, 0, 0, 18, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 23, 1, 0, 4, 0, 0, 0, 0, 1, 1, 0, 0
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 9, 0, 0, 0, 0, 0, 1, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8, 1, 0, 8, 0, 1, 6, 2, 9, 4, 0, 1, 17, 1, 0, 40, 12, 42, 13, 1, 1, 0, 9, 0, 0, 11, 1, 12, 2, 1, 0, 0, 6, 0, 7, 1, 8, 2, 1, 15, 3, 0, 26, 0, 5, 29, 5, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 006, F, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 17, 9, 0, 0, 7, 2, 0, 3, 0, 6, 1, 1, 1, 18, 0, 0, 10, 2, 11, 3, 1, 1, 0, 9, 0, 0, 14, 5, 15, 6, 1, 0, 0, 9, 0, 11, 2, 12, 3, 1, 18, 0, 0, 9, 4, 1, 10, 2, 1, 1, 1, 1, 1, 3, 0, 11, 0, 8, 1, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 0, 0, 0, 0, 0, 13, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 9, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 0, 0, 7, 2, 0, 28, 6, 31, 7, 0, 1, 16, 2, 0, 38, 7, 41, 8, 1, 1, 0, 8, 1, 0, 6, 1, 7, 1, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 14, 4, 0, 5, 2, 1, 9, 1, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 008, F, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 7, 2, 0, 9, 0, 0, 3, 0, 6, 1, 1, 1, 17, 1, 0, 15, 6, 17, 7, 1, 1, 1, 9, 0, 0, 3, 2, 4, 3, 1, 0, 0, 6, 0, 8, 1, 9, 2, 1, 16, 1, 1, 20, 1, 8, 23, 10, 1, 1, 1, 1, 1, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 009, F, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 15, 6, 3, 0, 7, 2, 0, 13, 4, 19, 5, 3, 1, 17, 1, 0, 6, 0, 8, 1, 1, 1, 0, 9, 0, 0, 7, 0, 8, 1, 1, 0, 0, 4, 0, 2, 1, 3, 2, 1, 17, 0, 1, 8, 1, 1, 10, 3, 1, 1, 1, 1, 1, 3, 0, 8, 0, 21, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 3, 0, 0, 3, 0, 0, 16, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 010, F, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 16, 8, 1, 0, 8, 1, 0, 4, 0, 7, 1, 2, 1, 18, 0, 0, 12, 2, 13, 3, 1, 1, 0, 9, 0, 0, 10, 2, 11, 3, 1, 0, 0, 4, 0, 0, 0, 1, 1, 1, 15, 2, 1, 4, 3, 0, 8, 2, 1, 1, 1, 1, 1, 4, 0, 7, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 1, 0, 4, 0, 0, 19, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
