Input Number, Run_Number, Result@ 100, X, Y, Z
19, Run: 001, P, 100, 0, 0
19, Run: 002, P, 85, 0, 0
19, Run: 003, P, 103, 0, 0
19, Run: 004, P, 100, 0, 0
19, Run: 005, P, 114, 0, 0
19, Run: 006, P, 87, 0, 0
19, Run: 007, P, 108, 0, 0
19, Run: 008, P, 94, 0, 0
19, Run: 009, P, 101, 0, 0
19, Run: 010, P, 91, 0, 0
19, Run: 011, P, 91, 0, 0
19, Run: 012, P, 94, 0, 0
19, Run: 013, P, 100, 0, 0
19, Run: 014, P, 109, 0, 0
19, Run: 015, P, 109, 0, 0
19, Run: 016, P, 95, 0, 0
19, Run: 017, P, 108, 0, 0
19, Run: 018, P, 109, 0, 0
19, Run: 019, P, 134, 0, 0
19, Run: 020, P, 103, 0, 0
19, Run: 021, P, 90, 0, 0
19, Run: 022, P, 99, 0, 0
19, Run: 023, P, 83, 0, 0
19, Run: 024, P, 94, 0, 0
19, Run: 025, P, 90, 0, 0
19, Run: 026, P, 101, 0, 0
19, Run: 027, P, 109, 0, 0
19, Run: 028, P, 93, 0, 0
19, Run: 029, P, 100, 0, 0
19, Run: 030, P, 107, 0, 0
19, Run: 031, P, 116, 0, 0
19, Run: 032, P, 128, 0, 0
19, Run: 033, P, 103, 0, 0
19, Run: 034, P, 78, 0, 0
19, Run: 035, P, 94, 0, 0
19, Run: 036, P, 115, 0, 0
19, Run: 037, P, 86, 0, 0
19, Run: 038, P, 99, 0, 0
19, Run: 039, P, 88, 0, 0
19, Run: 040, P, 100, 0, 0
19, Run: 041, P, 99, 0, 0
19, Run: 042, P, 95, 0, 0
19, Run: 043, P, 100, 0, 0
19, Run: 044, P, 103, 0, 0
19, Run: 045, P, 98, 0, 0
19, Run: 046, P, 88, 0, 0
19, Run: 047, P, 112, 0, 0
19, Run: 048, P, 102, 0, 0
19, Run: 049, P, 101, 0, 0
19, Run: 050, P, 102, 0, 0
19, Run: 051, P, 104, 0, 0
19, Run: 052, P, 88, 0, 0
19, Run: 053, P, 119, 0, 0
19, Run: 054, P, 102, 0, 0
19, Run: 055, P, 101, 0, 0
19, Run: 056, P, 88, 0, 0
19, Run: 057, P, 88, 0, 0
19, Run: 058, P, 96, 0, 0
19, Run: 059, P, 95, 0, 0
19, Run: 060, P, 97, 0, 0
19, Run: 061, P, 95, 0, 0
19, Run: 062, P, 94, 0, 0
19, Run: 063, P, 108, 0, 0
19, Run: 064, P, 108, 0, 0
19, Run: 065, P, 79, 0, 0
19, Run: 066, P, 104, 0, 0
19, Run: 067, P, 107, 0, 0
19, Run: 068, P, 86, 0, 0
19, Run: 069, P, 92, 0, 0
19, Run: 070, P, 117, 0, 0
19, Run: 071, P, 109, 0, 0
19, Run: 072, P, 93, 0, 0
19, Run: 073, P, 106, 0, 0
19, Run: 074, P, 89, 0, 0
19, Run: 075, P, 110, 0, 0
19, Run: 076, P, 97, 0, 0
19, Run: 077, P, 91, 0, 0
19, Run: 078, P, 119, 0, 0
19, Run: 079, P, 87, 0, 0
19, Run: 080, P, 101, 0, 0
19, Run: 081, P, 98, 0, 0
19, Run: 082, P, 107, 0, 0
19, Run: 083, P, 114, 0, 0
19, Run: 084, P, 103, 0, 0
19, Run: 085, P, 81, 0, 0
19, Run: 086, P, 99, 0, 0
19, Run: 087, P, 103, 0, 0
19, Run: 088, P, 100, 0, 0
19, Run: 089, P, 100, 0, 0
19, Run: 090, P, 106, 0, 0
19, Run: 091, P, 103, 0, 0
19, Run: 092, P, 84, 0, 0
19, Run: 093, P, 104, 0, 0
19, Run: 094, P, 79, 0, 0
