Input Number, Run_Number, Result@ 100, X1uABab, al, LeaderX1, aq, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, ah, X1uABX1, SetX1X1, Leaderad, ak, ADuAFX1, ADuAFab, aj, SetABf, Leaderag, Leaderah, ao, ar, an, AGuAIX1, AGuAIab, Leaderai, AIuAJX1, AIuAJab, SetABX1, AHuAKX1, AHuAKab, Leaderak, at, au, SetABab, SetX1ab, Leaderan, Y, ANuAOX1, ab, ANuAOab, Leaderao, ANuAPX1, ANuAPab, SetX1f, Leaderap, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 16, 7, 2, 0, 7, 2, 0, 7, 2, 12, 3, 1, 1, 17, 1, 0, 1, 2, 3, 3, 1, 1, 1, 9, 0, 0, 21, 4, 22, 5, 1, 0, 0, 23, 0, 4, 1, 5, 2, 1, 15, 3, 0, 19, 9, 3, 23, 4, 1, 1, 1, 1, 1, 6, 0, 26, 0, 35, 1, 0, 0, 0, 0, 0, 0, 0, 11, 1, 1, 3, 2, 1, 3, 0, 0, 19, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 002, P, 0, 0, 0, 55, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 8, 1, 0, 9, 0, 0, 16, 8, 18, 9, 3, 1, 17, 1, 0, 25, 3, 27, 4, 1, 1, 1, 8, 1, 0, 23, 7, 25, 8, 1, 0, 0, 9, 0, 7, 0, 7, 0, 0, 17, 1, 0, 22, 0, 7, 24, 8, 1, 1, 1, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 0, 0, 0, 0, 0, 14, 8, 1, 0, 8, 1, 0, 12, 0, 15, 1, 2, 1, 15, 2, 0, 0, 0, 3, 1, 1, 1, 2, 7, 1, 0, 0, 0, 2, 1, 1, 0, 1, 19, 0, 1, 0, 3, 1, 1, 14, 3, 0, 2, 3, 0, 6, 1, 1, 1, 1, 1, 1, 6, 1, 24, 0, 34, 2, 0, 0, 0, 0, 0, 0, 0, 6, 16, 4, 20, 5, 1, 1, 0, 0, 16, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 004, P, 0, 0, 0, 54, 0, 0, 0, 1, 1, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8, 1, 0, 8, 1, 0, 12, 2, 14, 2, 0, 0, 16, 1, 1, 17, 7, 20, 9, 1, 1, 0, 9, 0, 0, 1, 0, 1, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 17, 1, 0, 0, 16, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 005, P, 0, 0, 0, 55, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8, 1, 0, 7, 2, 0, 11, 4, 15, 5, 0, 1, 15, 3, 0, 27, 4, 31, 5, 1, 1, 0, 7, 2, 0, 26, 5, 28, 5, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 17, 1, 0, 15, 4, 5, 17, 6, 1, 1, 1, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 8, 0, 1, 7, 2, 0, 0, 0, 4, 2, 1, 1, 16, 2, 0, 1, 0, 4, 1, 1, 1, 0, 9, 0, 0, 12, 5, 13, 6, 1, 0, 0, 13, 0, 31, 10, 32, 11, 1, 14, 2, 2, 16, 4, 6, 21, 9, 1, 1, 1, 1, 1, 4, 0, 15, 0, 27, 2, 0, 0, 0, 0, 0, 0, 0, 5, 11, 1, 13, 1, 0, 5, 0, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 007, P, 0, 18, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 1, 18, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 9, 0, 0, 9, 0, 0, 3, 0, 4, 1, 1, 1, 18, 0, 0, 43, 11, 43, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 1, 0, 16, 8, 1, 0, 8, 0, 0, 1, 0, 3, 1, 1, 1, 16, 1, 0, 0, 0, 2, 1, 1, 1, 1, 8, 0, 0, 1, 1, 2, 2, 1, 1, 0, 27, 0, 7, 1, 8, 2, 1, 17, 0, 0, 25, 10, 11, 26, 12, 1, 1, 1, 1, 1, 0, 0, 30, 0, 0, 0, 0, 20, 0, 0, 5, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 30, 2, 0, 3, 0, 0, 2, 3, 5, 1, 4, 1
INVAR-1, Run: 009, P, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 15, 8, 1, 0, 7, 2, 0, 11, 4, 15, 5, 3, 1, 14, 4, 0, 1, 0, 6, 1, 1, 1, 0, 9, 0, 0, 11, 10, 12, 11, 1, 0, 0, 1, 0, 3, 2, 4, 3, 1, 15, 2, 0, 1, 0, 0, 4, 1, 1, 1, 1, 1, 1, 5, 0, 5, 0, 26, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 2, 1, 4, 0, 0, 25, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 17, 9, 0, 0, 7, 1, 1, 12, 5, 15, 7, 1, 1, 18, 0, 0, 8, 0, 9, 1, 1, 1, 0, 9, 0, 0, 15, 4, 16, 5, 1, 0, 0, 17, 0, 11, 2, 12, 3, 1, 17, 1, 0, 7, 2, 0, 9, 1, 1, 1, 1, 1, 1, 3, 0, 19, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 5, 1, 1, 6, 0, 0, 31, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
